data,rate
2018-01-01,3.2106090909090907
2018-02-01,3.2415000000000003
2018-03-01,3.2792142857142856
2018-04-01,3.407495238095238
2018-05-01,3.636057142857143
2018-06-01,3.773171428571428
2018-07-01,3.8287636363636364
2018-08-01,3.9297565217391304
2018-09-01,4.1165473684210525
2018-10-01,3.758409090909091
2018-11-01,3.786665
2018-12-01,3.885055
2019-01-01,3.7416818181818186
2019-02-01,3.7236249999999997
2019-03-01,3.846484210526316
2019-04-01,3.8961571428571427
2019-05-01,4.001518181818182
2019-06-01,3.8588263157894738
2019-07-01,3.7793391304347828
2019-08-01,4.019981818181818
2019-09-01,4.1215
2019-10-01,4.086986956521739
2019-11-01,4.155345
2019-12-01,4.109590476190476
2020-01-01,4.149463636363636
2020-02-01,4.341011111111111
2020-03-01,4.883854545454546
2020-04-01,5.32558
2020-05-01,5.643445
2020-06-01,5.1966
2020-07-01,5.280191304347826
2020-08-01,5.461233333333333
2020-09-01,5.399485714285714
2020-10-01,5.625790476190476
2020-11-01,5.417835
2020-12-01,5.1455863636363635
2021-01-01,5.3562449999999995
2021-02-01,5.416494444444444
2021-03-01,5.646147826086957
2021-04-01,5.562135
2021-05-01,5.291057142857143
2021-06-01,5.031904761904762
2021-07-01,5.156704545454546
2021-08-01,5.251718181818182
2021-09-01,5.279690476190477
2021-10-01,5.53998
2021-11-01,5.5568599999999995
2021-12-01,5.651391304347826
2022-01-01,5.534104761904762
2022-02-01,5.196578947368421
2022-03-01,4.968381818181818
2022-04-01,4.758015789473684
2022-05-01,4.95505
2022-06-01,5.049209523809524
2022-07-01,5.368071428571429
2022-08-01,5.143286956521739
2022-09-01,5.236957142857143
2022-10-01,5.2503
2022-11-01,5.274649999999999
2022-12-01,5.242431818181818
2023-01-01,5.200681818181819
2023-02-01,5.171688888888889
2023-03-01,5.211460869565218
2023-04-01,5.019733333333333
2023-05-01,4.9828363636363635
2023-06-01,4.851566666666667
2023-07-01,4.800833333333333
2023-08-01,4.903543478260869
2023-09-01,4.93699
2023-10-01,5.064842857142857
2023-11-01,4.89834
2023-12-01,4.897245
2024-01-01,4.9143954545454545
2024-02-01,4.964389473684211
2024-03-01,4.980135
2024-04-01,5.129095454545455
2024-05-01,5.133047619047619
2024-06-01,5.388975
2024-07-01,5.542047826086956
2024-08-01,5.5526136363636365
2024-09-01,5.541566666666666
2024-10-01,5.624108695652174
2024-11-01,5.807057894736842
2024-12-01,6.097028571428571
2025-01-01,6.021772727272727
2025-02-01,5.765645
2025-03-01,5.74681052631579
2025-04-01,5.783675000000001
2025-05-01,5.6673857142857145
2025-06-01,5.547055
2025-07-01,5.528491304347826
2025-08-01,5.44692380952381
2025-09-01,5.367409090909091
2025-10-01,5.385526086956522
2025-11-01,5.340852631578947
2025-12-01,5.45309090909091
2026-01-01,5.3380238095238095
2026-02-01,5.200616666666666
2026-03-01,5.231586363636364
2026-04-01,5.033075
2026-05-01,4.983700000000001
2026-06-01,5.127571428571429
2026-07-01,5.113947826086957
2026-08-01,5.15174
