mes,ano,valor_exterior_pf,valor_exterior_pj,valor_exterior_subtotal,valor_sem_ex_pf,valor_sem_ex_pj,valor_sem_ex_subtotal,valor_exchanges,valor_total
8,2019,376.24560221999894,745.3331870799998,1121.5787892999988,114.87943628000006,269.53592715000025,384.4153634300003,2531.017851830215,4037.01
9,2019,249.5455027900003,1955.4540531299956,2204.999555919996,191.30694164000002,721.8239797700065,913.1309214100065,2757.3278650800858,5875.46
10,2019,305.66400393999965,1238.59519005998,1544.2591939999797,314.42070536000017,1178.7129496399998,1493.133655,3458.4957077099525,6495.89
11,2019,16.58018846,1529.7780972199744,1546.3582856799744,1.2417706800000001,1007.9726037500005,1009.2143744300005,2974.6046451699044,5530.18
12,2019,86.07884276000009,1139.8928707699952,1225.9717135299952,80.98546822999998,2377.1894113700005,2458.1748796000006,3056.4262129601498,6740.57
1,2020,152.29390568999955,1625.8725682299962,1778.1664739199957,600.27585874,1414.181832410001,2014.4576911500012,3384.789013150331,7177.41
2,2020,90.36309600000136,2859.7974972000093,2950.1605932000107,90.67026006,899.7995203000002,990.4697803600002,2588.7667171900434,6529.4
3,2020,50.680935919999996,3775.6424960500153,3826.3234319700155,190.14497673000002,947.2007194300003,1137.3456961600002,2758.6623824700337,7722.33
4,2020,17.684056450000007,3778.770557930021,3796.4546143800208,4.0842550200000005,212.27579326999998,216.36004828999998,1760.1051765701,5772.92
5,2020,13.752757969999996,3237.4260161499983,3251.1787741199983,11.112051629999998,355.62322740000013,366.73527903000013,2832.91684071007,6450.83
6,2020,15.684421489999984,2652.6639273599976,2668.348348849998,7.9343873,813.1513972800007,821.0857845800007,3191.704976209958,6681.14
7,2020,17.917042559999977,4107.578577970003,4125.495620530002,64.22253393999998,1036.8388509700003,1101.0613849100002,5275.520530640083,10502.08
8,2020,37.29578110999994,3679.803385470002,3717.099166580002,307.82658859000003,1166.1021514300003,1473.9287400200003,4496.100512040033,9687.13
9,2020,89.38609881999997,738.7913608599994,828.1774596799994,15.716328149999999,1104.5488334800002,1120.2651616300002,4963.814311560068,6912.26
10,2020,64.74725947999997,681.1023669399974,745.8496264199973,7.947413400000004,1203.1632079800024,1211.1106213800024,4479.979892280037,6436.94
11,2020,117.89281301000003,892.6559417800005,1010.5487547900005,12.173087890000003,1364.0549431499992,1376.2280310399992,7492.79735951054,9879.57
12,2020,75.82811786999976,1034.3144222700034,1110.1425401400031,104.1847902500003,1843.1623087399998,1947.3470989900002,8106.035477050965,11163.53
1,2021,300.0310048599999,1168.268184450004,1468.2991893100038,66.83758454000014,1383.9425630199921,1450.7801475599922,12848.225179218454,15767.3
2,2021,329.73425260999903,1461.6365706200004,1791.3708232299994,72.40851192999999,1419.9000314799978,1492.3085434099978,13895.905388819412,17179.58
3,2021,232.70870961000003,2040.8678362600108,2273.5765458700107,53.390946599999936,1392.653175139994,1446.044121739994,14976.366792350656,18695.99
4,2021,269.7102882200001,2187.906055070001,2457.616343290001,103.53095544000026,2426.1842417499915,2529.7151971899916,18594.877710103214,23582.21
5,2021,445.08198135999885,2589.8171890000067,3034.8991703600054,115.29299807000099,2918.324538269934,3033.6175363399348,20537.196772860647,26605.71
6,2021,232.90561223000034,2186.422210469996,2419.3278226999964,46.012810349999846,3021.440230519987,3067.4530408699866,11277.870579591177,16764.65
7,2021,231.35330772999973,1719.3301216500017,1950.6834293800014,117.11867443999783,2834.5320632399894,2951.6507376799873,9350.618930470688,14252.95
8,2021,346.8470216099998,1767.714798370001,2114.561819980001,151.98479331000064,3179.8388108200056,3331.823604130006,11707.093182131921,17153.48
9,2021,596.2831243199989,1448.2086464399981,2044.491770759997,227.0535152299997,2652.401027420026,2879.454542650026,8654.20365187142,13578.15
10,2021,446.67728234000043,1775.320168639997,2221.9974509799977,266.4408803800043,2646.5815371899967,2913.022417570001,10461.582643155105,15596.6
11,2021,418.2084048700017,1951.62245509999,2369.8308599699917,230.10706890999765,4311.594409620058,4541.701478530056,13334.70209049346,20246.23
12,2021,367.25929992000044,1548.2939617599986,1915.5532616799992,225.06719830000307,2901.9866405600255,3127.0538388600285,10936.11959039203,15978.73
1,2022,300.97524189999996,1660.4256649999952,1961.400906899995,83.85775711999905,2949.6691091199946,3033.5268662399935,10847.759038662613,15842.69
2,2022,181.89494694000027,1162.7197166299986,1344.6146635699988,73.3829349199998,2226.061711300011,2299.4446462200112,10002.506784269803,13646.57
